token_type,token_address,receiver,amount,id
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x1501cf2e9afd2624a485e675427609a1932772ec,0.77,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x1bdd5257a67e0e18ada502aa8dfaf59c14309ce9,0.070,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xda63f22bf4bdc0b88536bdf4375fc9e14862abd8,0.041,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xcfd126577cdf70582885bfe35a75cd7e5678ec62,0.038,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x8549b9a6dc2ef6a35410edf22573fa30464bbd5f,0.036,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x669a623c4851860721045cdf3337d556ed4341a1,0.032,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x11de7449e0b0905f9ccd154f9b766015723e324b,0.029,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xabfdf024e4f3c5938c66fa24f1cddce7a8f2764b,0.027,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x5db0f163c8e2f2fac81759c8565b44a2cef79a46,0.026,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x3be960f410100916b49c41bb8fc52eb5511ef307,0.019,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x585f4fbe2d2a889c286fa71fb81d01f30773f4b1,0.014,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x1b46f5d5bcb772a530856d7331ec163b6ab76fd5,0.010,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xeda744c89dc8d1ecad5272cd335dc45c9419181f,0.0014,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x360017aa3ed94025d0807ed435399f2fbbed6483,0.00095,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xee2bfe340492e7e1155b8ffcc0efd357f18a2336,0.00081,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xfb6473dbcc305d815f3390cff6144a06378d3021,0.00066,
erc20,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x761ef130fbae97ac7a2cf252a41b3015347a55d3,0.00055,